Name,Platform,About,URL Pic,URL Trailer
NBA 2K17,PS4,"Following the record-breaking launch of NBA 2K16, the NBA 2K franchise continues to stake its claim as the most authentic sports video game with NBA 2K17. As the franchise that “all sports video games should aspire to be” (GamesRadar), NBA 2K17 will take the game to new heights and continue to blur the lines between video game and reality.",http://cdn.edgecast.steamstatic.com/steam/apps/385760/header.jpg?t=1487268359,http://cdn.edgecast.steamstatic.com/steam/apps/256670650/movie480.webm?t=1473875535
Far Cry: Primal,PS4,"Welcome to the Stone Age, a time of extreme danger and limitless adventure, when giant mammoths and sabretooth tigers ruled the Earth and humanity is at the bottom of the food chain. As the last survivor of your hunting group, you will learn to craft a deadly arsenal, fend off fierce predators, and outsmart enemy tribes to conquer the land of Oros and become the Apex Predator.",http://cdn.edgecast.steamstatic.com/steam/apps/371660/header.jpg?t=1460460176,http://cdn.edgecast.steamstatic.com/steam/apps/256660809/movie480.webm?t=1456871116
Madden NFL 17,PS4,"Madden 17 is an American football sports video game based on the National Football League and published by EA Sports for the PlayStation 4, PlayStation 3, Xbox One and Xbox 360. The 28th installment of the Madden NFL series, the game was released on August 23, 2016 and features New England Patriots tight end Rob Gronkowski on the cover",https://media.playstation.com/is/image/SCEA/madden-nfl-17-listing-thumb-01-ps4-us-09may16?$Icon$,https://youtu.be/VEmQEFCBp2c
Tom Clancys The Division,XOne,"We live in a complex world. The more advanced it gets, the more vulnerable it becomes. We’ve created a house of cards: remove just one, and everything falls apart.

Black Friday – a devastating pandemic sweeps through New York City, and one by one, basic services fail. In only days, without food or water, society collapses into chaos. The Division, an autonomous unit of tactical agents, is activated. Leading seemingly ordinary lives among us, these agents are trained to operate independently in order to save society.

When society falls, we rise.",http://cdn.edgecast.steamstatic.com/steam/apps/365590/header.jpg?t=1490712382,http://cdn.edgecast.steamstatic.com/steam/apps/256661442/movie480.webm?t=1457152635
Gears of War 4,XOne,"A new saga begins for one of the most acclaimed video game franchises in history. After narrowly escaping an attack on their village, JD Fenix and his friends, Kait and Del, must rescue the ones they love and discover the source of a monstrous new enemy.",http://compass.xbox.com/assets/d1/2e/d12e9dd8-9809-41cf-8411-05054fcff92a.jpg?n=action-hero-desktop.jpg,https://youtu.be/XrfVfRV0zSg
Mafia III,PS4,"It’s 1968 and after years of combat in Vietnam, Lincoln Clay knows this truth: family isn’t who you’re born with, it’s who you die for. Now back home in New Bordeaux, Lincoln is set on escaping a criminal past. But when his surrogate family, the black mob, is betrayed and wiped out by the Italian Mafia, Lincoln builds a new family on the ashes of the old and blazes a path of military-grade revenge through those responsible. Intense gun fights, visceral hand-to-hand combat, white knuckle driving and street smarts will all be needed. But with the right crew, tough decisions and some dirty hands, it’s possible to make it to the top of the city's underworld.",http://cdn.edgecast.steamstatic.com/steam/apps/360430/header.jpg?t=1490751567,http://cdn.edgecast.steamstatic.com/steam/apps/256682200/movie480.webm?t=1490751535
Watch Dogs 2,PS4,"Play as Marcus Holloway, a brilliant young hacker living in the birthplace of the tech revolution, the San Francisco Bay Area.",http://cdn.edgecast.steamstatic.com/steam/apps/447040/header.jpg?t=1490295945,http://cdn.edgecast.steamstatic.com/steam/apps/256675152/movie480.webm?t=1479834207
Madden NFL 17,XOne,"Madden 17 is an American football sports video game based on the National Football League and published by EA Sports for the PlayStation 4, PlayStation 3, Xbox One and Xbox 360. The 28th installment of the Madden NFL series, the game was released on August 23, 2016 and features New England Patriots tight end Rob Gronkowski on the cover",https://media.playstation.com/is/image/SCEA/madden-nfl-17-listing-thumb-01-ps4-us-09may16?$Icon$,https://youtu.be/VEmQEFCBp2c
No Mans Sky,PS4,"Inspired by the adventure and imagination that we love from classic science-fiction, No Man's Sky presents you with a galaxy to explore, filled with unique planets and lifeforms, and constant danger and action.

In No Man's Sky, every star is the light of a distant sun, each orbited by planets filled with life, and you can go to any of them you choose. Fly smoothly from deep space to planetary surfaces, with no loading screens, and no limits. In this infinite procedurally generated universe, you'll discover places and creatures that no other players have seen before - and perhaps never will again.
Embark on an epic voyage
At the centre of the galaxy lies a irresistible pulse which draws you on a journey towards it to learn the true nature of the cosmos. But, facing hostile creatures and fierce pirates, you'll know that death comes at a cost, and survival will be down to the choices you make over how you upgrade your ship, your weapon and suit.
Find your own destiny
Your voyage through No Man's Sky is up to you. Will you be a fighter, preying on the weak and taking their riches, or taking out pirates for their bounties? Power is yours if you upgrade your ship for speed and weaponry.
Or a trader? Find rich resources on forgotten worlds and exploit them for the highest prices. Invest in more cargo space and you'll reap huge rewards.

Or perhaps an explorer? Go beyond the known frontier and discover places and things that no one has ever seen before. Upgrade your engines to jump ever farther, and strengthen your suit for survival in toxic environments that would kill the unwary.
Share your journey
The galaxy is a living, breathing place. Trade convoys travel between stars, factions vie for territory, pirates hunt the unwary, and the police are ever watching. Every other player lives in the same galaxy, and you can choose to share your discoveries with them on a map that spans known space. Perhaps you will see the results of their actions as well as your own...",http://cdn.edgecast.steamstatic.com/steam/apps/275850/header.jpg?t=1489002819,http://cdn.edgecast.steamstatic.com/steam/apps/256680955/movie480.webm?t=1489002805
Dark Souls III,PS4,"DARK SOULS™ III continues to push the boundaries with the latest, ambitious chapter in the critically-acclaimed and genre-defining series. As fires fade and the world falls into ruin, journey into a universe filled with more colossal enemies and environments. Players will be immersed into a world of epic atmosphere and darkness through faster gameplay and amplified combat intensity. Fans and newcomers alike will get lost in the game hallmark rewarding gameplay and immersive graphics. Now only embers remain… Prepare yourself once more and Embrace The Darkness!",http://cdn.edgecast.steamstatic.com/steam/apps/374320/header.jpg?t=1490369875,http://cdn.edgecast.steamstatic.com/steam/apps/256663134/movie480.webm?t=1461062918
Forza Horizon 3,XOne,"You’re in charge of the Horizon Festival. Customize everything, hire and fire your friends, and explore Australia in over 350 of the world’s greatest cars. Make your Horizon the ultimate celebration of cars, music, and freedom of the open road. How you get there is up to you.",http://news.xbox.com/wp-content/uploads/Forza-Horizon-3_KeyArt_584x800_Logo.jpg,https://www.youtube.com/watch?v=fTSUgXkfooA
Overwatch,XOne,"In a time of global crisis, an international task force of heroes banded together to restore peace to a war-torn world. This organization, known as Overwatch, ended the crisis and helped maintain peace for a generation, inspiring an era of exploration, innovation, and discovery. After many years, Overwatch's influence waned and it was eventually disbanded. Now in the wake of its dismantling, conflict is rising once again. Overwatch may be gone... but the world still needs heroes.",http://compass.xbox.com/assets/03/a8/03a88669-6710-4602-9914-27de084dd819.png?n=Overwatch_boxshot-retailer-X1_200x260.png,https://www.youtube.com/watch?v=pYC44YPb_5k
NBA 2K17,XOne,"NBA 2K17 is a basketball simulation video game developed by Visual Concepts and published by 2K Sports. It is the 18th installment in the NBA 2K franchise and the successor to NBA 2K16. It was released worldwide on September 20, 2016, for Microsoft Windows, PlayStation 4, PlayStation 3, Xbox One, and Xbox 360. Players who pre-ordered the game received it on September 16, 2016.[2] Paul George of the Indiana Pacers is the cover athlete for the regular edition of the game,[3][4] while Kobe Bryant is the cover athlete for the 'Legend Edition'.[5] In Italy, the cover athlete is Danilo Gallinari,[6] and in Spain, the cover athlete is Pau Gasol.[7] A version of the game for iOS and Android was released on September 23, 2016.[8]",http://s.pacn.ws/640/q3/nba-2k17-legend-edition-english-469691.1.jpg?o5m5hg,https://www.youtube.com/watch?v=aF_l6FDOSZQ
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,"The latest opus in the acclaimed STORM series is taking you on a colourful and breathtaking ride. Take advantage of the totally revamped battle system and prepare to dive into the most epic fights you’ve ever seen in the NARUTO SHIPPUDEN: Ultimate Ninja STORM series!

Prepare for the most awaited STORM game ever created!
",http://gameidealist.com/wp-content/uploads/Naruto-Shippuden-Ultimate-Ninja-Storm-4-updated-box-art-ps4.jpg,https://www.youtube.com/watch?v=JAYstN5eqE8
Pokken Tournament,WiiU,"GAME DETAILS
Battle Pokémon like never before in all-new, action-packed arena fights! Perform vivid Pokémon moves in all their glory with button combinations through an intuitive fighting system to unleash devastating attacks upon your opponent to become the Pokkén Tournament champion!

Learn various fighting styles of Pokémon such as Pikachu, Charizard, Lucario, and more. Any fan will be able to learn and execute signature Pokémon moves with a press of a button. Turn the tide of battle by calling upon support Pokémon to assist, and unleash devastating attacks to KO your opponent. Battles await, and it’s up to you to claim the title of Pokkén Tournament champion!",https://sickr.files.wordpress.com/2015/12/pokken_tournament_small_box_art.png?w=760,https://www.youtube.com/watch?v=Mb9Tj5oiWi4
Dishonored 2,PS4,"Reprise your role as a supernatural assassin in Dishonored 2. 
Praised by PC Gamer as “brilliant”, IGN as “amazing” and “a super sequel, IGN as “amazing” and “a superb sequel”, declared a “masterpiece” by Eurogamer, and hailed “a must-play revenge tale among the best in its class” by Game Informer, Dishonored 2 is the follow up to Arkane Studio's first-person action blockbuster and winner of more than 100 'Game of the Year' awards, Dishonored. 

Play your way in a world where mysticism and industry collide. Will you choose to play as Empress Emily Kaldwin or the royal protector, Corvo Attano? Will you make your way through the game unseen, make full use of its brutal combat system, or use a blend of both? How will you combine your character's unique set of powers, weapons and gadgets to eliminate your enemies? The story responds to your choices, leading to intriguing outcomes, as you play through each of the game's hand-crafted missions.",https://images-na.ssl-images-amazon.com/images/I/81YLBuNwjJL._SL1500_.jpg,https://www.youtube.com/watch?v=hiutOCmk97E
The Legend of Zelda: Twilight Princess HD,WiiU,"A dark force, shrouded in twilight, has invaded the vast land of Hyrule. To restore light to the world, team up with the mysterious creature Midna and embrace the darkness to transform into a divine wolf. Fight through labyrinthine dungeons, survive puzzling traps and meet a cast of characters you’ll never forget in this legendary Zelda™ adventure.

The Legend of Zelda™: Twilight Princess is a critically acclaimed masterpiece, set in a massive world bursting with life—but also shadow. A dark figure from the Twilight Realm has invaded the world of light. As Link™, a farmhand turned cursed beast, join forces with the impish Midna and trusted (albeit unusual) allies to survive a quest that'll take you to the farthest corners of Hyrule and beyond… to the Twilight Realm. This emotional adventure is now on the Wii U™ console with improved visuals and controls—and new challenges. Choose Hero Mode to take 2x normal damage, or tap the Wolf Link amiibo™ figure to unlock the tough Cave of Shadows.",https://jsicktheslick.files.wordpress.com/2016/03/the-legend-of-zelda-twilight-princess-hd-cover.jpg,https://www.youtube.com/watch?v=pBIo8gTrWl4
Titanfall 2,PS4,"Jack Cooper, a class three rifleman in the Militia, aspires to one day become a Titan Pilot for the Militia, and is receiving off-the-books training from Captain Tai Lastimosa in preparation for Cooper's candidacy. ",http://www.metalbridges.com/wp-content/uploads/2016/11/titanfall-2-cover-ps4.jpg,https://www.youtube.com/watch?v=00wFXKzVYfE 
Kirby: Planet Robobot,3DS,"Harness the power of a mysterious mech to stop ruthless invaders from mechanizing Kirby's home world. Smash through tough obstacles, lift heavy objects with ease, and scan enemies to shape-shift into new Modes with powerful abilities in this supercharged action-platformer!

That's right—Kirby's Robobot Armor can shape-shift into different modes by scanning enemies to copy their moves—like the new Jet Mode. Not to mention, Kirby™ can copy abilities the old-fashioned way too—by inhaling them! After saving the world, team up with three friends to defeat foes in Team Kirby Clash, an RPG-styled 4-player brawl where you choose from varied roles and level them up.
",https://i5.walmartimages.com/asr/83053ccd-acb1-465c-8437-cc7b1b4c2c26_1.c9109987685eabb436fc408983eda752.jpeg,https://www.youtube.com/watch?v=ziF2FtsXUOU
EA Sports UFC 2,PS4,"EA SPORTS™ UFC® 2 innovates with stunning character likeness and animation, adds an all new Knockout Physics System and authentic gameplay features, and invites all fighters to step back into the Octagon™ to experience the thrill of finishing the fight. From the walkout to the knockout, EA SPORTS UFC 2 delivers a deep, authentic, and exciting experience.",https://media.playstation.com/is/image/SCEA/ea-sports-ufc-2-two-column-02-ps4-us-14mar16?$TwoColumn_Image$,https://www.youtube.com/watch?v=m97UWd2QuAI
Street Fighter V,PS4,"The legendary fighting franchise returns with STREET FIGHTER® V! Stunning visuals depict the next generation of World Warriors in unprecedented detail, while exciting and accessible battle mechanics deliver endless fighting fun that both beginners and veterans can enjoy. ",http://www.geek.com/wp-content/uploads/2016/01/Street-Fighter-V-console-exclusive-box-art.jpg,http://cdn.edgecast.steamstatic.com/steam/apps/256679327/movie480.webm?t=1486680022
Far Cry: Primal,XOne,"Welcome to the Stone Age, a time of extreme danger and limitless adventure, when giant mammoths and sabretooth tigers ruled the Earth and humanity is at the bottom of the food chain. As the last survivor of your hunting group, you will learn to craft a deadly arsenal, fend off fierce predators, and outsmart enemy tribes to conquer the land of Oros and become the Apex Predator.",http://static.metacritic.com/images/products/games/6/df1dac5ccf4511000508ad543ae8b970.jpg,http://cdn.edgecast.steamstatic.com/steam/apps/256660809/movie480.webm?t=1456871116
Dragon Ball: Xenoverse 2,PS4,DRAGON BALL XENOVERSE 2 builds upon the highly popular DRAGON BALL XENOVERSE with enhanced graphics that will further immerse players into the largest and most detailed Dragon Ball world ever developed.,http://cdn.edgecast.steamstatic.com/steam/apps/454650/header.jpg?t=1488295449,http://cdn.edgecast.steamstatic.com/steam/apps/256673245/movie480.webm?t=1477525330
Titanfall 2,XOne,"Jack Cooper, a class three rifleman in the Militia, aspires to one day become a Titan Pilot for the Militia, and is receiving off-the-books training from Captain Tai Lastimosa in preparation for Cooper's candidacy. ",http://www.gameplay.si/media/catalog/product/7/1/71cek1o45ll._sl1000_.jpg,https://youtu.be/EXwdWuSuiYA
Lego Star Wars: The Force Awakens,PS4,"Play as all of the characters from the movie, including Rey, Finn, Poe Dameron, Han Solo, Chewbacca, C-3PO, and BB-8, as well as Kylo Ren, General Hux and Captain Phasma.",https://s4.thcdn.com/productimg/600/600/11245452-1174365058418115.jpg,http://cdn.edgecast.steamstatic.com/steam/apps/256660456/movie480.webm?t=1458847589
Farming Simulator 17,PC,"Take on the role of a modern farmer in Farming Simulator 17! Immerse yourself in a huge open world loaded with new content: new environment, vehicles, animals, crops and gameplay mechanics!",http://cdn.edgecast.steamstatic.com/steam/apps/447020/header.jpg?t=1490889614,http://cdn.edgecast.steamstatic.com/steam/apps/256673177/movie480.webm?t=1478076750
LEGO Marvels Avengers,PS4,Play as the most powerful Super Heroes in their quest to save the world.,http://images.pushsquare.com/games/ps4/lego_marvels_avengers/cover_large.jpg,http://cdn.edgecast.steamstatic.com/steam/apps/256658192/movie480.webm?t=1450453197
WWE 2K17,PS4,"Welcome to Suplex City, courtesy of cover Superstar Brock Lesnar! WWE 2K17 returns as the reigning, defending, champion of fighting video games!",https://static.raru.co.za/cover/2016/06/09/4766813-l.jpg?v=1478082579,http://cdn.edgecast.steamstatic.com/steam/apps/256679014/movie480.webm?t=1486402544
Mafia III,XOne,"It’s 1968 and after years of combat in Vietnam, Lincoln Clay knows this truth: family isn’t who you’re born with, it’s who you die for. Now back home in New Bordeaux, Lincoln is set on escaping a criminal past. But when his surrogate family, the black mob, is betrayed and wiped out by the Italian Mafia, Lincoln builds a new family on the ashes of the old and blazes a path of military-grade revenge through those responsible. Intense gun fights, visceral hand-to-hand combat, white knuckle driving and street smarts will all be needed. But with the right crew, tough decisions and some dirty hands, it’s possible to make it to the top of the city's underworld.",http://image.jeuxvideo.com/medias/146583/1465829529-1429-jaquette-avant.jpg,http://cdn.edgecast.steamstatic.com/steam/apps/256682200/movie480.webm?t=1490751535
Watch Dogs 2,XOne,"Play as Marcus Holloway, a brilliant young hacker living in the birthplace of the tech revolution, the San Francisco Bay Area.",http://images.livrariasaraiva.com.br/imagemnet/imagem.aspx/?pro_id=9384447&qld=90&l=430&a=-1,http://cdn.edgecast.steamstatic.com/steam/apps/256675152/movie480.webm?t=1479834207
